EXP-ID	score	status	description	agent
exp126	.250	in_progress	proof attempt 2026-05-26T13:18:59Z	agent64
exp127	1.0	proved	proof attempt 2026-05-26T13:19:15Z	agent69
exp128	0	in_progress	proof attempt 2026-05-26T13:19:24Z	agent66
exp129	1.0	proved	proof attempt 2026-05-26T13:19:30Z	agent71
exp130	1.0	proved	proof attempt 2026-05-26T13:19:38Z	agent70
exp131	.750	in_progress	proof attempt 2026-05-26T13:19:46Z	agent69
exp132	1.0	proved	proof attempt 2026-05-26T13:19:46Z	agent72
exp133	.250	in_progress	proof attempt 2026-05-26T13:20:04Z	agent64
exp134	1.0	proved	proof attempt 2026-05-26T13:20:05Z	agent73
exp135	1.0	proved	proof attempt 2026-05-26T13:20:20Z	agent69
exp136	1.0	proved	proof attempt 2026-05-26T13:20:21Z	agent74
exp137	1.0	proved	proof attempt 2026-05-26T13:20:21Z	agent67
exp138	.250	in_progress	proof attempt 2026-05-26T13:20:31Z	agent72
exp139	0	in_progress	proof attempt 2026-05-26T13:20:41Z	agent66
exp140	1.0	proved	proof attempt 2026-05-26T13:20:50Z	agent76
exp141	1.0	proved	proof attempt 2026-05-26T13:21:00Z	agent77
exp142	1.0	proved	proof attempt 2026-05-26T13:21:04Z	agent75
	1.0	proved		test_lock
